C2022	搜狐新闻	---推荐理由--- 每3个人中就有1个人在使用搜狐新闻了解天下资讯； 每1秒钟就有100万+人与你同时在搜狐新闻阅读新鲜事； 每1天就有100+个火爆自媒体入驻搜狐新闻。 涵盖热点新闻、娱乐、科技、财经、股票、社会、旅游、时尚、体育、军事、汽车、生活 、情感、星座…….你可随时分享新闻资讯到微博、微信、朋友圈、QQ空间等社交平台。<	C43442:新浪新闻,C77434:违章查询助手,C57236:今日头条,C183901:WiFi信号增强…,C19168:凤凰新闻,C5373:支付宝,C6605:中华万年历,C10175435:布卡漫画,C104688:腾讯新闻,C21976:UC浏览器,C2022:搜狐新闻,C9147:网易新闻,C104688:腾讯新闻,C57236:今日头条,C179773:爱读掌阅,C2034:天翼阅读,C28837:ZAKER,C86189:爱动漫,C149006:塔读文学,C6092:书旗小说,
C57236	今日头条	优酷:《秦时明月》：十年踪迹十年心，真人版独家首播开启。 《万万没想到3》：大锤闪婚，从此走向人生巅峰想想还有点小激动呢。 《YIF魔幻2》：顶级魔法师为您演绎身边的魔法。 《室友一起宅》：《Big Brother》中国版，90后真人秀相爱相杀。 《好笑头条君》：史上最狠真心话大冒险，誉王也逗比。 《天眼》：郑嘉颖杨怡联手TVB警匪大	C4543:和讯财经,C43442:新浪新闻,C20252:京东,C2217:我查查,C19168:凤凰新闻,C183901:WiFi信号增强…,C41529:万年历,C3674:凤凰视频,C10251746:微看点,C32840:掌阅iReader,C2022:搜狐新闻,C9147:网易新闻,C104688:腾讯新闻,C57236:今日头条,C179773:爱读掌阅,C2034:天翼阅读,C28837:ZAKER,C86189:爱动漫,C149006:塔读文学,C6092:书旗小说,
C10059090	华为游戏中心	华为游戏中心是华为公司提供的安卓游戏下载平台，所有游戏都经过专业的测评团队层层检测，为您推荐最安全质量最高的游戏内容， 目前我们有20万游戏聚众平台，个性化专题定制，和丰富多元的游戏礼包，还有游戏论坛供大家互动，华为游戏中心不单服务所有华为用户，还支持国内主流安卓机型。 新版本特性： 1、“我的”页面界面设计优化，新页面更简洁美观，常用功能	C183901:WiFi信号增强…,C20252:京东,C10138048:消灭星星2-粉碎…,C10114178:流量宝,C10237646:3D暴力飙车,C54626:铃声多多,C10191116:图片合成器,C10113531:保卫萝卜2,C23673:天籁K歌,C10134672:开心消消乐,C27162:华为应用市场,C66323:华为备份,C10055832:华为文件管理(…,C21976:UC浏览器,C10067631:华为手机服务,C20679:QQ浏览器,C10207207:华为云服务,C10059090:华为游戏中心,C10060708:华为支付,C2682:搜狗输入法,
C5206	美团	【团购特点】 团购新用户1元吃喝玩乐，电影，酒店，外卖，美食，旅游优惠送；老用户名店抢购，大牌商家团购折上折； 精致美食，旅游团购，酒店预订，打折机票，特惠电影，在线买单，外卖立减，团购优惠根本停不下来！美团网，团购一次，美一次，专业品质团购网，团购、美食、酒店、旅游、机票、火车票、外卖、电影、KTV应有尽有！   情侣约会，看电影，住酒店，吃大	C5373:支付宝,C10080633:百度魔拍,C10027946:快的打车,C2217:我查查,C34075:手机淘宝,C10243018:中国工商银行,C9319:QQ,C10220136:QQ音乐,C6015363:肯德基,C10017070:高铁管家,C34075:手机淘宝,C5373:支付宝,C10049053:华为商城,C57804:天猫,C5206:美团,C10608:大众点评,C20252:京东,C31975:墨迹天气,C135323:灵犀语音助手,C9136:唯品会,
C3466	酷狗音乐	酷狗音乐:【核心功能】 1. 更人性化的操作界面  界面全新设计，清新简洁，点划之间尽享畅爽体验；  2. 乐库体验大有不同  耳目一新的乐库，新歌速递、权威榜单、精选歌单，你要找的音乐，都在酷狗乐库；  3. 专业蝰蛇音效  由蝰蛇(VIPER)专业打造的智能均衡环绕音，更有多种预设音效，让同一首歌也有不同的味道； 4. 融	C34075:手机淘宝,C5683:微信,C183901:WiFi信号增强…,C9319:QQ,C10047107:滴滴出行,C10220136:QQ音乐,C185099:个性彩铃,C5373:支付宝,C10010188:喜马拉雅FM,C54626:铃声多多,C10021449:音乐,C3466:酷狗音乐,C2002:爱奇艺,C20960:搜狐视频,C32569:优酷,C29156:腾讯视频,C290:酷我音乐,C2068:多米音乐,C10162466:爱看4G视频,C22852:暴风影音,
C32569	优酷	优酷:《秦时明月》：十年踪迹十年心，真人版独家首播开启。 《万万没想到3》：大锤闪婚，从此走向人生巅峰想想还有点小激动呢。 《YIF魔幻2》：顶级魔法师为您演绎身边的魔法。 《室友一起宅》：《Big Brother》中国版，90后真人秀相爱相杀。 《好笑头条君》：史上最狠真心话大冒险，誉王也逗比。 《天眼》：郑嘉颖杨怡联手TVB警匪大	C20252:京东,C183901:WiFi信号增强…,C174391:百度云,C39289:手机通信Whats…,C10047107:滴滴出行,C23673:天籁K歌,C185099:个性彩铃,C57236:今日头条,C3466:酷狗音乐,C5326:乐视视频,C10021449:音乐,C3466:酷狗音乐,C2002:爱奇艺,C20960:搜狐视频,C32569:优酷,C29156:腾讯视频,C290:酷我音乐,C2068:多米音乐,C10162466:爱看4G视频,C22852:暴风影音,
C20911	 高德地图 	 高德地图 :国内专业的手机地图，超过3.2亿用户在使用！高德地图是应用商店上数据准确率高、省流量、躲避拥堵功能强大的手机地图，平均每天为用户省油61万升！ 高德地图作为苹果中国地图数据独家供应商，深耕地图领域12年，专注数字地图内容、导航和位置服务解决方案。  我们能为您提供准确的位置信息 -地点、道路数据值得信赖 -定位精准，误差率低  	C20252:京东,C183901:WiFi信号增强…,C40224:相片组合 Phot…,C10017070:高铁管家,C2217:我查查,C10099655:铁路12306,C31346:手机百度,C107870:e代驾,C9319:QQ,C3382:百度地图,C3382:百度地图,C20911: 高德地图 ,C5157:携程旅行,C262:去哪儿旅行,C5745:天翼导航,C3403:高德导航,C39196:艺龙旅行,C10067576:116114,C10027946:快的打车,C12192:同程旅游,
C10067631	华为手机服务	华为手机服务:“手机服务”为华为手机用户提供立体在线服务，集成智能问答、用户指南、服务网点、花粉论坛等必备服务，旨在为用户提供统一的手机售后服务入口，帮助用户便捷定位和快速解决问题，让您安心、省心、放心地使用华为手机。 主要功能： 1、华为会员：华为提供给终端消费者的一项增值服务，是消费者尊贵身份的象征。会员可享受专属售后服务、VIP客服、应用和游戏特权、生活	C9319:QQ,C5683:微信,C183901:WiFi信号增强…,C2217:我查查,C3466:酷狗音乐,C21976:UC浏览器,C174391:百度云,C10220136:QQ音乐,C31346:手机百度,C2682:搜狗输入法,C27162:华为应用市场,C66323:华为备份,C10055832:华为文件管理(…,C21976:UC浏览器,C10067631:华为手机服务,C20679:QQ浏览器,C10207207:华为云服务,C10059090:华为游戏中心,C10060708:华为支付,C2682:搜狗输入法,
C34075	手机淘宝	打开淘宝领金币-人人有份 手机淘宝（Android版）是阿里巴巴专为Android手机用户推出的满足其生活消费和线上购物需求的软件，具有查看附近的生活优惠信息、商品搜索、浏览、购买、支付、收藏、物流查询、旺旺沟通等在线功能，成为了用户方便快捷的生活消费入口	C20252:京东,C5373:支付宝,C57804:天猫,C40224:相片组合 Phot…,C10193357:微医,C174391:百度云,C32569:优酷,C55726:明星同款-一闪…,C183901:WiFi信号增强…,C2060:导航犬,C34075:手机淘宝,C5373:支付宝,C10049053:华为商城,C57804:天猫,C5206:美团,C10608:大众点评,C20252:京东,C31975:墨迹天气,C135323:灵犀语音助手,C9136:唯品会,
C21976	UC浏览器	UC浏览器:5亿用户共同选择的上网神器，UC星座版高能来袭！ 【个性化资讯】读懂你的兴趣，推荐给你最想看的内容今日头条新闻，明星八卦，微信热文，NBA欧冠，股票理财，漫画杂志，美女写真哪些是你的菜? 【免费小说】起点，纵横，潇湘，红袖，书旗，掌阅热门小说全阅读，更有书评推荐，再不怕书荒啦 ! 【海量视频】优酷，土豆，搜狐，爱奇艺，乐视芒果TV，腾讯视频	C20252:京东,C183901:WiFi信号增强…,C174391:百度云,C10059250:神庙逃亡2,C10114178:流量宝,C10057661:Google Play…,C10237646:3D暴力飙车,C22852:暴风影音,C10212671:阿达脑训练,C10191116:图片合成器,C27162:华为应用市场,C66323:华为备份,C10055832:华为文件管理(…,C21976:UC浏览器,C10067631:华为手机服务,C20679:QQ浏览器,C10207207:华为云服务,C10059090:华为游戏中心,C10060708:华为支付,C2682:搜狗输入法,
